Library,Symbol,Value,Description,Footprint,Datasheet
Converter_ACDC,TMG15112,TMG15112,"15W AC/DC power supply, 12V fixed output voltage, 1.25A output, 4.0kVAC isolation",Converter_ACDC:Converter_ACDC_TRACO_TMG_151xx_THT,https://www.tracopower.com/products/tmg15.pdf
Converter_ACDC,TMPW5-112,TMPW5-112,"5W AC/DC power supply, 12V fixed output voltage, 420mA output, 4.0kVAC isolation",Converter_ACDC:Converter_ACDC_TRACO_TMPW5-1xx_THT,https://www.tracopower.com/products/tmpw5.pdf
Comparator,MAX9031AX,MAX9031AX,"Single, Rail to Rail, 2.5V - 5.5V Supply, 247mW, SC70",Package_TO_SOT_SMD:SOT-353_SC-70-5,https://datasheets.maximintegrated.com/en/ds/MAX9030-MAX9034.pdf
Converter_ACDC,TMPW10-115,TMPW10-115,"10W AC/DC power supply, 15V fixed output voltage, 667mA output, 4.0kVAC isolation",Converter_ACDC:Converter_ACDC_TRACO_TMPW10_1xx_THT,https://www.tracopower.com/products/tmpw10.pdf
Timer,NE555P,NE555P,"Precision Timers, 555 compatible,  PDIP-8",Package_DIP:DIP-8_W7.62mm,http://www.ti.com/lit/ds/symlink/ne555.pdf
Timer,LM555xN,LM555xN,"Timer, 555 compatible, PDIP-8",Package_DIP:DIP-8_W7.62mm,http://www.ti.com/lit/ds/symlink/lm555.pdf
Timer,ICM7555xP,ICM7555xP,"CMOS General Purpose Timer, 555 compatible, PDIP-8",Package_DIP:DIP-8_W7.62mm,http://www.intersil.com/content/dam/Intersil/documents/icm7/icm7555-56.pdf
Sensor_Temperature,MCP9844x-xMN,MCP9844x-xMN,"±1°C Accurate, 1.8V Digital Temperature Sensor, I²C, DFN-8",Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.36x1.46mm,http://ww1.microchip.com/downloads/en/DeviceDoc/20005192B.pdf
Sensor_Temperature,MCP9808_MSOP,MCP9808_MSOP,"±0.25°C (±0.5°C) Typical (Maximum), Digital Temperature Sensor, MSOP-8",Package_SO:MSOP-8_3x3mm_P0.65mm,http://ww1.microchip.com/downloads/en/DeviceDoc/22203b.pdf
Sensor_Temperature,MCP9808_DFN,MCP9808_DFN,"±0.25°C (±0.5°C) Typical (Maximum), Digital Temperature Sensor, DFN-8",Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.7x1.4mm,http://ww1.microchip.com/downloads/en/DeviceDoc/MCP9808-0.5C-Maximum-Accuracy-Digital-Temperature-Sensor-Data-Sheet-DS20005095B.pdf
